locale,profile,text,state,layout,width,height,outside_pixels
es_ES,compact,AX5,future,small-Tiangong,146.0,146.0,0
es_ES,compact,AX5,future,medium,292.0,146.0,0
es_ES,compact,AX5,future,large-ISS,292.0,311.0,0
es_ES,compact,AX5,future,large-Tiangong,292.0,311.0,0
es_ES,compact,normal,ongoing,rows-normal,146.0,146.0,0
es_ES,compact,normal,ongoing,chart-normal,146.0,146.0,0
es_ES,compact,normal,ongoing,medium-normal,292.0,146.0,0
es_ES,compact,normal,ongoing,large-normal,292.0,311.0,0
es_ES,compact,XXXL,ongoing,rows-XXXL,146.0,146.0,0
es_ES,compact,XXXL,ongoing,chart-XXXL,146.0,146.0,0
es_ES,compact,XXXL,ongoing,medium-XXXL,292.0,146.0,0
es_ES,compact,XXXL,ongoing,large-XXXL,292.0,311.0,0
es_ES,compact,AX5,ongoing,rows-AX5,146.0,146.0,0
es_ES,compact,AX5,ongoing,chart-AX5,146.0,146.0,0
es_ES,compact,AX5,ongoing,medium-AX5,292.0,146.0,0
es_ES,compact,AX5,ongoing,large-AX5,292.0,311.0,0
es_ES,compact,normal,empty,rows-normal,146.0,146.0,0
es_ES,compact,normal,empty,chart-normal,146.0,146.0,0
es_ES,compact,normal,empty,medium-normal,292.0,146.0,0
es_ES,compact,normal,empty,large-normal,292.0,311.0,0
es_ES,compact,XXXL,empty,rows-XXXL,146.0,146.0,0
es_ES,compact,XXXL,empty,chart-XXXL,146.0,146.0,0
es_ES,compact,XXXL,empty,medium-XXXL,292.0,146.0,0
es_ES,compact,XXXL,empty,large-XXXL,292.0,311.0,0
es_ES,compact,AX5,empty,rows-AX5,146.0,146.0,0
es_ES,compact,AX5,empty,chart-AX5,146.0,146.0,0
es_ES,compact,AX5,empty,medium-AX5,292.0,146.0,0
es_ES,compact,AX5,empty,large-AX5,292.0,311.0,0
es_ES,compact,normal,setup,rows-normal,146.0,146.0,0
es_ES,compact,normal,setup,chart-normal,146.0,146.0,0
es_ES,compact,normal,setup,medium-normal,292.0,146.0,0
es_ES,compact,normal,setup,large-normal,292.0,311.0,0
es_ES,compact,XXXL,setup,rows-XXXL,146.0,146.0,0
es_ES,compact,XXXL,setup,chart-XXXL,146.0,146.0,0
es_ES,compact,XXXL,setup,medium-XXXL,292.0,146.0,0
es_ES,compact,XXXL,setup,large-XXXL,292.0,311.0,0
es_ES,compact,AX5,setup,rows-AX5,146.0,146.0,0
es_ES,compact,AX5,setup,chart-AX5,146.0,146.0,0
es_ES,compact,AX5,setup,medium-AX5,292.0,146.0,0
es_ES,compact,AX5,setup,large-AX5,292.0,311.0,0
es_ES,compact,normal,expired,rows-normal,146.0,146.0,0
es_ES,compact,normal,expired,chart-normal,146.0,146.0,0
es_ES,compact,normal,expired,medium-normal,292.0,146.0,0
es_ES,compact,normal,expired,large-normal,292.0,311.0,0
es_ES,compact,XXXL,expired,rows-XXXL,146.0,146.0,0
es_ES,compact,XXXL,expired,chart-XXXL,146.0,146.0,0
es_ES,compact,XXXL,expired,medium-XXXL,292.0,146.0,0
es_ES,compact,XXXL,expired,large-XXXL,292.0,311.0,0
es_ES,compact,AX5,expired,rows-AX5,146.0,146.0,0
es_ES,compact,AX5,expired,chart-AX5,146.0,146.0,0
es_ES,compact,AX5,expired,medium-AX5,292.0,146.0,0
es_ES,compact,AX5,expired,large-AX5,292.0,311.0,0
es_ES,compact,normal,legacy,rows-normal,146.0,146.0,0
es_ES,compact,normal,legacy,chart-normal,146.0,146.0,0
es_ES,compact,normal,legacy,medium-normal,292.0,146.0,0
es_ES,compact,normal,legacy,large-normal,292.0,311.0,0
es_ES,compact,XXXL,legacy,rows-XXXL,146.0,146.0,0
es_ES,compact,XXXL,legacy,chart-XXXL,146.0,146.0,0
es_ES,compact,XXXL,legacy,medium-XXXL,292.0,146.0,0
